Round 1: test_acc=0.042999947397, bytes=3.83536000 MB, time=204.41410950s, delta_acc/byte=1.121145013689e-08, delta_acc/sec=0.000210357042,acc/byte=1.121145013689e-08, acc/sec=0.000210357042, 
Round 2: test_acc=0.054667454977, bytes=7.67072000 MB, time=446.98427690s, delta_acc/byte=1.521044645033e-09, delta_acc/sec=0.000026102725,acc/byte=7.126769713480e-09, acc/sec=0.000122302859, 
Round 3: test_acc=0.050510129854, bytes=11.50608000 MB, time=611.53083670s, delta_acc/byte=-3.613155064545e-10, delta_acc/sec=-0.000006798226,acc/byte=4.389864302532e-09, acc/sec=0.000082596211, 
Round 4: test_acc=0.051922525857, bytes=15.34144000 MB, time=880.72792310s, delta_acc/byte=9.206410888162e-11, delta_acc/sec=0.000001603669,acc/byte=3.384462335781e-09, acc/sec=0.000058954104, 
Round 5: test_acc=0.054237536341, bytes=19.17680000 MB, time=992.01674710s, delta_acc/byte=1.207193319171e-10, delta_acc/sec=0.000002333641,acc/byte=2.828289200542e-09, acc/sec=0.000054674013, 
Round 6: test_acc=0.051921915133, bytes=23.01216000 MB, time=1194.53768660s, delta_acc/byte=-1.006259824545e-10, delta_acc/sec=-0.000001938508,acc/byte=2.256281684664e-09, acc/sec=0.000043466117, 
Round 7: test_acc=0.016027135761, bytes=26.84752000 MB, time=1423.05999260s, delta_acc/byte=-1.336986782095e-09, delta_acc/sec=-0.000025223659,acc/byte=5.969689476169e-10, acc/sec=0.000011262446, 
Round 8: test_acc=0.051910615694, bytes=30.68288000 MB, time=1762.96875000s, delta_acc/byte=1.169495169073e-09, delta_acc/sec=0.000020354008,acc/byte=1.691842998238e-09, acc/sec=0.000029445000, 
Round 9: test_acc=0.053202121099, bytes=34.51824000 MB, time=1981.52447530s, delta_acc/byte=3.741515806366e-11, delta_acc/sec=0.000000651774,acc/byte=1.541275600942e-09, acc/sec=0.000026849086, 
Round 10: test_acc=0.014249688620, bytes=38.35360000 MB, time=2162.25749780s, delta_acc/byte=-1.015613462092e-09, delta_acc/sec=-0.000018014706,acc/byte=3.715345787553e-10, acc/sec=0.000006590190, 
Round 11: test_acc=0.051928633656, bytes=42.18896000 MB, time=2285.53985720s, delta_acc/byte=8.930996411527e-10, delta_acc/sec=0.000016485797,acc/byte=1.230858349112e-09, acc/sec=0.000022720511, 
Round 12: test_acc=0.051927251760, bytes=46.02432000 MB, time=2442.43172560s, delta_acc/byte=-3.002535260079e-14, delta_acc/sec=-0.000000000566,acc/byte=1.128256794667e-09, acc/sec=0.000021260472, 
Round 13: test_acc=0.003700977683, bytes=49.85968000 MB, time=2613.26549040s, delta_acc/byte=-9.672399437244e-10, delta_acc/sec=-0.000018454410,acc/byte=7.422786673724e-11, acc/sec=0.000001416227, 
Round 14: test_acc=0.028019087771, bytes=53.69504000 MB, time=2747.86539580s, delta_acc/byte=4.528930435353e-10, delta_acc/sec=0.000008849819,acc/byte=5.218189197914e-10, acc/sec=0.000010196674, 
Round 15: test_acc=0.051905949358, bytes=57.53040000 MB, time=3038.30119490s, delta_acc/byte=4.152041631371e-10, delta_acc/sec=0.000007861914,acc/byte=9.022351549424e-10, acc/sec=0.000017083872, 
Round 16: test_acc=0.054957667217, bytes=61.36576000 MB, time=3216.20809220s, delta_acc/byte=4.972997741349e-11, delta_acc/sec=0.000000948856,acc/byte=8.955754351720e-10, acc/sec=0.000017087721, 
Round 17: test_acc=0.014613593034, bytes=65.20112000 MB, time=3359.02390940s, delta_acc/byte=-6.187635148325e-10, delta_acc/sec=-0.000012010654,acc/byte=2.241310123882e-10, acc/sec=0.000004350547, 
Round 18: test_acc=0.009523784581, bytes=69.03648000 MB, time=3562.62944260s, delta_acc/byte=-7.372636109692e-11, delta_acc/sec=-0.000001428666,acc/byte=1.379529283809e-10, acc/sec=0.000002673246, 
Round 19: test_acc=0.031837509908, bytes=72.87184000 MB, time=3752.03443720s, delta_acc/byte=3.062050488457e-10, delta_acc/sec=0.000005947100,acc/byte=4.368972967855e-10, acc/sec=0.000008485399, 
Round 20: test_acc=0.051905949358, bytes=76.70720000 MB, time=3852.24831910s, delta_acc/byte=2.616239342606e-10, delta_acc/sec=0.000005209539,acc/byte=6.766763662068e-10, acc/sec=0.000013474196, 
Round 21: test_acc=0.014303817656, bytes=80.54256000 MB, time=3989.51498350s, delta_acc/byte=-4.668603990487e-10, delta_acc/sec=-0.000009425239,acc/byte=1.775932830530e-10, acc/sec=0.000003585353, 
Round 22: test_acc=0.051911226418, bytes=84.37792000 MB, time=4195.90129220s, delta_acc/byte=4.457020125879e-10, delta_acc/sec=0.000008962892,acc/byte=6.152228736839e-10, acc/sec=0.000012371889, 
Round 23: test_acc=0.051910615694, bytes=88.21328000 MB, time=4374.73361330s, delta_acc/byte=-6.923267012948e-15, delta_acc/sec=-0.000000000140,acc/byte=5.884671298219e-10, acc/sec=0.000011866006, 
Round 24: test_acc=0.051959023830, bytes=92.04864000 MB, time=4565.49801960s, delta_acc/byte=5.258973491814e-13, delta_acc/sec=0.000000010603,acc/byte=5.644735634285e-10, acc/sec=0.000011380801, 
Round 25: test_acc=0.053672127444, bytes=95.88400000 MB, time=4740.85190700s, delta_acc/byte=1.786641790859e-11, delta_acc/sec=0.000000361349,acc/byte=5.597610388000e-10, acc/sec=0.000011321199, 
Round 26: test_acc=0.052224921305, bytes=99.71936000 MB, time=4899.76881070s, delta_acc/byte=-1.451279008975e-11, delta_acc/sec=-0.000000295362,acc/byte=5.237189779871e-10, acc/sec=0.000010658650, 
Round 27: test_acc=0.051905949358, bytes=103.55472000 MB, time=5114.66432290s, delta_acc/byte=-3.080226056673e-12, delta_acc/sec=-0.000000062364,acc/byte=5.012417527458e-10, acc/sec=0.000010148457, 
Round 28: test_acc=0.051905949358, bytes=107.39008000 MB, time=5292.48410970s, delta_acc/byte=0.000000000000e+00, delta_acc/sec=0.000000000000,acc/byte=4.833402615763e-10, acc/sec=0.000009807483, 
Round 29: test_acc=0.051905949358, bytes=111.22544000 MB, time=5463.20191020s, delta_acc/byte=0.000000000000e+00, delta_acc/sec=0.000000000000,acc/byte=4.666733560047e-10, acc/sec=0.000009501012, 
Round 30: test_acc=0.051905949358, bytes=115.06080000 MB, time=5654.56283240s, delta_acc/byte=0.000000000000e+00, delta_acc/sec=0.000000000000,acc/byte=4.511175774712e-10, acc/sec=0.000009179481, 
Round 31: test_acc=0.051905949358, bytes=118.89616000 MB, time=5887.71647180s, delta_acc/byte=0.000000000000e+00, delta_acc/sec=0.000000000000,acc/byte=4.365653975528e-10, acc/sec=0.000008815973, 
Round 32: test_acc=0.051905949358, bytes=122.73152000 MB, time=6154.91425210s, delta_acc/byte=0.000000000000e+00, delta_acc/sec=0.000000000000,acc/byte=4.229227288792e-10, acc/sec=0.000008433253, 
Round 33: test_acc=0.051905949358, bytes=126.56688000 MB, time=6313.09843070s, delta_acc/byte=0.000000000000e+00, delta_acc/sec=0.000000000000,acc/byte=4.101068886102e-10, acc/sec=0.000008221945, 
Round 34: test_acc=0.052041631471, bytes=130.40224000 MB, time=6553.83751410s, delta_acc/byte=1.040489131695e-12, delta_acc/sec=0.000000020703,acc/byte=3.990854104298e-10, acc/sec=0.000007940635, 
