Round 1: test_acc=0.137785166204, bytes=5.18416000 MB, time=314.26523910s, delta_acc/byte=2.657810835390e-08, delta_acc/sec=0.000438435910,acc/byte=2.657810835390e-08, acc/sec=0.000438435910, 
Round 2: test_acc=0.217871126160, bytes=10.36832000 MB, time=712.69769900s, delta_acc/byte=7.724101875333e-09, delta_acc/sec=0.000112370168,acc/byte=2.101315605228e-08, acc/sec=0.000305699214, 
Round 3: test_acc=0.267175042853, bytes=15.55248000 MB, time=989.33204880s, delta_acc/byte=3.170164288444e-09, delta_acc/sec=0.000049835560,acc/byte=1.717893498997e-08, acc/sec=0.000270055987, 
Round 4: test_acc=0.310218375176, bytes=20.73664000 MB, time=1360.32451470s, delta_acc/byte=2.075713921032e-09, delta_acc/sec=0.000031641959,acc/byte=1.495991516351e-08, acc/sec=0.000228047331, 
Round 5: test_acc=0.334711613804, bytes=25.92080000 MB, time=1544.70068130s, delta_acc/byte=9.449260295944e-10, delta_acc/sec=0.000015856301,acc/byte=1.291285816040e-08, acc/sec=0.000216683800, 
Round 6: test_acc=0.366478699446, bytes=31.10496000 MB, time=1885.48687710s, delta_acc/byte=1.021286818617e-09, delta_acc/sec=0.000016848214,acc/byte=1.178200195228e-08, acc/sec=0.000194368205, 
Round 7: test_acc=0.391879856586, bytes=36.28912000 MB, time=2246.73025470s, delta_acc/byte=6.999661920910e-10, delta_acc/sec=0.000011305833,acc/byte=1.079882500833e-08, acc/sec=0.000174422299, 
Round 8: test_acc=0.407159941047, bytes=41.47328000 MB, time=2632.74817100s, delta_acc/byte=3.684320232442e-10, delta_acc/sec=0.000005803853,acc/byte=9.817403905537e-09, acc/sec=0.000154652065, 
Round 9: test_acc=0.418850514889, bytes=46.65744000 MB, time=2890.26493020s, delta_acc/byte=2.505618362545e-10, delta_acc/sec=0.000004044810,acc/byte=8.977143085621e-09, acc/sec=0.000144917689, 
Round 10: test_acc=0.426822658479, bytes=51.84160000 MB, time=3150.11175650s, delta_acc/byte=1.537788878131e-10, delta_acc/sec=0.000002530749,acc/byte=8.233207664872e-09, acc/sec=0.000135494450, 
Round 11: test_acc=0.443113322407, bytes=57.02576000 MB, time=3340.95976860s, delta_acc/byte=2.856720178353e-10, delta_acc/sec=0.000004876043,acc/byte=7.770406258628e-09, acc/sec=0.000132630547, 
Round 12: test_acc=0.446672610641, bytes=62.20992000 MB, time=3539.80874890s, delta_acc/byte=5.721415866663e-11, delta_acc/sec=0.000001005503,acc/byte=7.180086562409e-09, acc/sec=0.000126185521, 
Round 13: test_acc=0.460980875194, bytes=67.39408000 MB, time=3784.87639150s, delta_acc/byte=2.123074393707e-10, delta_acc/sec=0.000003780378,acc/byte=6.840079650825e-09, acc/sec=0.000121795490, 
Round 14: test_acc=0.464763017595, bytes=72.57824000 MB, time=3996.92487550s, delta_acc/byte=5.211124437216e-11, delta_acc/sec=0.000000946263,acc/byte=6.403613777281e-09, acc/sec=0.000116280148, 
