Round 1: test_acc=0.075091053257, bytes=2.11880000 MB, time=57.75716880s, delta_acc/byte=3.544036872605e-08, delta_acc/sec=0.001300116588,acc/byte=3.544036872605e-08, acc/sec=0.001300116588, 
Round 2: test_acc=0.143945284337, bytes=4.23760000 MB, time=178.33314770s, delta_acc/byte=1.624840265245e-08, delta_acc/sec=0.000386098894,acc/byte=3.396858701548e-08, acc/sec=0.000807170659, 
Round 3: test_acc=0.199571113065, bytes=6.35640000 MB, time=297.02109450s, delta_acc/byte=8.751152968359e-09, delta_acc/sec=0.000187279051,acc/byte=3.139687764535e-08, acc/sec=0.000671908887, 
Round 4: test_acc=0.230893197581, bytes=8.47520000 MB, time=383.58801480s, delta_acc/byte=3.695733966902e-09, delta_acc/sec=0.000081655535,acc/byte=2.724339220091e-08, acc/sec=0.000601930166, 
Round 5: test_acc=0.262186523750, bytes=10.59400000 MB, time=433.26900020s, delta_acc/byte=2.953872585355e-09, delta_acc/sec=0.000072226091,acc/byte=2.474858634608e-08, acc/sec=0.000605135663, 
Round 6: test_acc=0.291665071547, bytes=12.71280000 MB, time=509.45843440s, delta_acc/byte=2.318808429033e-09, delta_acc/sec=0.000057862518,acc/byte=2.294263038410e-08, acc/sec=0.000572500231, 
Round 7: test_acc=0.324266350716, bytes=14.83160000 MB, time=1007.24113220s, delta_acc/byte=2.198095901273e-09, delta_acc/sec=0.000032366906,acc/byte=2.186320765908e-08, acc/sec=0.000321935176, 
Round 8: test_acc=0.335208021253, bytes=16.95040000 MB, time=1050.33007370s, delta_acc/byte=6.455110520693e-10, delta_acc/sec=0.000010417364,acc/byte=1.977581775376e-08, acc/sec=0.000319145409, 
Round 9: test_acc=0.364695716202, bytes=19.06920000 MB, time=1151.95663730s, delta_acc/byte=1.546351968038e-09, delta_acc/sec=0.000025597921,acc/byte=1.912485663805e-08, acc/sec=0.000316588059, 
Round 10: test_acc=0.375904899091, bytes=21.18800000 MB, time=1259.27677710s, delta_acc/byte=5.290344953875e-10, delta_acc/sec=0.000008901286,acc/byte=1.774140546963e-08, acc/sec=0.000298508561, 
Round 11: test_acc=0.381519592553, bytes=23.30680000 MB, time=1279.87798370s, delta_acc/byte=2.409036617145e-10, delta_acc/sec=0.000004386897,acc/byte=1.636945408865e-08, acc/sec=0.000298090597, 
Round 12: test_acc=0.379735730290, bytes=25.42560000 MB, time=1296.47406510s, delta_acc/byte=-7.016008522765e-11, delta_acc/sec=-0.000001375934,acc/byte=1.493517282937e-08, acc/sec=0.000292898825, 
