Round 1: test_acc=0.037476612991, bytes=1.41472000 MB, time=71.59535060s, delta_acc/byte=2.649048079530e-08, delta_acc/sec=0.000523450373,acc/byte=2.649048079530e-08, acc/sec=0.000523450373, 
Round 2: test_acc=0.038351225955, bytes=2.82944000 MB, time=141.98718600s, delta_acc/byte=3.091116845347e-10, delta_acc/sec=0.000006159802,acc/byte=1.355435208218e-08, acc/sec=0.000270103430, 
Round 3: test_acc=0.027803637129, bytes=4.24416000 MB, time=192.78032850s, delta_acc/byte=-2.485200564106e-09, delta_acc/sec=-0.000054712993,acc/byte=6.551034157349e-09, acc/sec=0.000144224451, 
Round 4: test_acc=0.040734802843, bytes=5.65888000 MB, time=317.48186790s, delta_acc/byte=2.285110430654e-09, delta_acc/sec=0.000040730407,acc/byte=7.198386048665e-09, acc/sec=0.000128305919, 
Round 5: test_acc=0.030367347025, bytes=7.07360000 MB, time=342.98351860s, delta_acc/byte=-1.465654803461e-09, delta_acc/sec=-0.000030227271,acc/byte=4.293054035472e-09, acc/sec=0.000088538794, 
Round 6: test_acc=0.025333344797, bytes=8.48832000 MB, time=434.67357080s, delta_acc/byte=-5.930504774372e-10, delta_acc/sec=-0.000011581110,acc/byte=2.984494552123e-09, acc/sec=0.000058281309, 
Round 7: test_acc=0.025237052450, bytes=9.90304000 MB, time=527.10883970s, delta_acc/byte=-9.723513861999e-12, delta_acc/sec=-0.000000182680,acc/byte=2.548414673672e-09, acc/sec=0.000047878257, 
Round 8: test_acc=0.040634411750, bytes=11.31776000 MB, time=627.89429560s, delta_acc/byte=1.360459958543e-09, delta_acc/sec=0.000024522216,acc/byte=3.590322798006e-09, acc/sec=0.000064715370, 
Round 9: test_acc=0.035745117702, bytes=12.73248000 MB, time=680.27221080s, delta_acc/byte=-3.840017065624e-10, delta_acc/sec=-0.000007187261,acc/byte=2.807396336110e-09, acc/sec=0.000052545315, 
Round 10: test_acc=0.036506467965, bytes=14.14720000 MB, time=733.15704800s, delta_acc/byte=5.381632145655e-11, delta_acc/sec=0.000001038455,acc/byte=2.580473023955e-09, acc/sec=0.000049793517, 
Round 11: test_acc=0.040130019430, bytes=15.56192000 MB, time=750.88607410s, delta_acc/byte=2.328473263949e-10, delta_acc/sec=0.000004825701,acc/byte=2.578731893627e-09, acc/sec=0.000053443553, 
Round 12: test_acc=0.035090192780, bytes=16.97664000 MB, time=799.29885410s, delta_acc/byte=-2.968683231884e-10, delta_acc/sec=-0.000006305309,acc/byte=2.066969245970e-09, acc/sec=0.000043901217, 
Round 13: test_acc=0.027025061091, bytes=18.39136000 MB, time=830.71085570s, delta_acc/byte=-4.385282920073e-10, delta_acc/sec=-0.000009708711,acc/byte=1.469443319657e-09, acc/sec=0.000032532452, 
Round 14: test_acc=0.030968978377, bytes=19.80608000 MB, time=858.66624480s, delta_acc/byte=1.991265957550e-10, delta_acc/sec=0.000004593074,acc/byte=1.563609678294e-09, acc/sec=0.000036066375, 
Round 15: test_acc=0.029213867784, bytes=21.22080000 MB, time=952.93503560s, delta_acc/byte=-8.270708896520e-11, delta_acc/sec=-0.000001841795,acc/byte=1.376661944109e-09, acc/sec=0.000030656725, 
Round 16: test_acc=0.039312579492, bytes=22.63552000 MB, time=986.95688240s, delta_acc/byte=4.461444538743e-10, delta_acc/sec=0.000010232171,acc/byte=1.736765026476e-09, acc/sec=0.000039832114, 
Round 17: test_acc=0.036708790613, bytes=24.05024000 MB, time=1003.07110620s, delta_acc/byte=-1.082645694500e-10, delta_acc/sec=-0.000002595817,acc/byte=1.526337808410e-09, acc/sec=0.000036596399, 
Round 18: test_acc=0.025043262262, bytes=25.46496000 MB, time=1035.25984260s, delta_acc/byte=-4.581011849789e-10, delta_acc/sec=-0.000011268213,acc/byte=9.834400785196e-10, acc/sec=0.000024190316, 
Round 19: test_acc=0.018861173289, bytes=26.87968000 MB, time=1086.81678590s, delta_acc/byte=-2.299911670452e-10, delta_acc/sec=-0.000005688253,acc/byte=7.016889073418e-10, acc/sec=0.000017354510, 
Round 20: test_acc=0.025364848473, bytes=28.29440000 MB, time=1129.97904430s, delta_acc/byte=2.298573281007e-10, delta_acc/sec=0.000005755572,acc/byte=8.964617900754e-10, acc/sec=0.000022447185, 
Round 21: test_acc=0.022296548523, bytes=29.70912000 MB, time=1149.89381000s, delta_acc/byte=-1.032780489661e-10, delta_acc/sec=-0.000002668333,acc/byte=7.504950844390e-10, acc/sec=0.000019390094, 
Round 22: test_acc=0.029254925870, bytes=31.12384000 MB, time=1218.62919330s, delta_acc/byte=2.235706566840e-10, delta_acc/sec=0.000005710004,acc/byte=9.399523281940e-10, acc/sec=0.000024006421, 
Round 23: test_acc=0.023616622379, bytes=32.53856000 MB, time=1270.44716990s, delta_acc/byte=-1.732806704196e-10, delta_acc/sec=-0.000004438046,acc/byte=7.258041652442e-10, acc/sec=0.000018589220, 
Round 24: test_acc=0.026436446747, bytes=33.95328000 MB, time=1301.88185100s, delta_acc/byte=8.305013146776e-11, delta_acc/sec=0.000002165960,acc/byte=7.786124564935e-10, acc/sec=0.000020306333, 
Round 25: test_acc=0.032740889797, bytes=35.36800000 MB, time=1351.55016380s, delta_acc/byte=1.782527440109e-10, delta_acc/sec=0.000004664602,acc/byte=9.257207022446e-10, acc/sec=0.000024224694, 
Round 26: test_acc=0.027924088365, bytes=36.78272000 MB, time=1399.14636220s, delta_acc/byte=-1.309528341457e-10, delta_acc/sec=-0.000003442672,acc/byte=7.591632257049e-10, acc/sec=0.000019957947, 
Round 27: test_acc=0.032703623092, bytes=38.19744000 MB, time=1452.63504910s, delta_acc/byte=1.251270955960e-10, delta_acc/sec=0.000003290252,acc/byte=8.561731647933e-10, acc/sec=0.000022513310, 
Round 28: test_acc=0.034480054071, bytes=39.61216000 MB, time=1500.70444150s, delta_acc/byte=4.484559739663e-11, delta_acc/sec=0.000001183731,acc/byte=8.704411491616e-10, acc/sec=0.000022975913, 
Round 29: test_acc=0.026587159741, bytes=41.02688000 MB, time=1554.92986240s, delta_acc/byte=-1.923834893230e-10, delta_acc/sec=-0.000005076045,acc/byte=6.480424477986e-10, acc/sec=0.000017098623, 
Round 30: test_acc=0.025181318922, bytes=42.44160000 MB, time=1607.09134990s, delta_acc/byte=-3.312412394373e-11, delta_acc/sec=-0.000000874773,acc/byte=5.933169089282e-10, acc/sec=0.000015668878, 
Round 31: test_acc=0.026239333898, bytes=43.85632000 MB, time=1727.04128440s, delta_acc/byte=2.412457260118e-11, delta_acc/sec=0.000000612617,acc/byte=5.983022264027e-10, acc/sec=0.000015193229, 
Round 32: test_acc=0.031078930171, bytes=45.27104000 MB, time=1822.65964180s, delta_acc/byte=1.069026970305e-10, delta_acc/sec=0.000002655239,acc/byte=6.865079788582e-10, acc/sec=0.000017051417, 
Round 33: test_acc=0.032826532088, bytes=46.68576000 MB, time=1844.26672450s, delta_acc/byte=3.743329694137e-11, delta_acc/sec=0.000000947586,acc/byte=7.031380037129e-10, acc/sec=0.000017799232, 
Round 34: test_acc=0.031087282160, bytes=48.10048000 MB, time=1901.04163920s, delta_acc/byte=-3.615868132549e-11, delta_acc/sec=-0.000000914893,acc/byte=6.462987928665e-10, acc/sec=0.000016352762, 
Round 35: test_acc=0.043184926091, bytes=49.51520000 MB, time=1951.81214230s, delta_acc/byte=2.443218230052e-10, delta_acc/sec=0.000006198160,acc/byte=8.721549360754e-10, acc/sec=0.000022125555, 
Round 36: test_acc=0.051174720451, bytes=50.92992000 MB, time=2052.36498210s, delta_acc/byte=1.568782036271e-10, delta_acc/sec=0.000003892970,acc/byte=1.004806613700e-09, acc/sec=0.000024934513, 
Round 37: test_acc=0.046120345835, bytes=52.34464000 MB, time=2093.43713380s, delta_acc/byte=-9.655954490456e-11, delta_acc/sec=-0.000002414390,acc/byte=8.810901332905e-10, acc/sec=0.000022030920, 
Round 38: test_acc=0.035209694011, bytes=53.75936000 MB, time=2136.97902470s, delta_acc/byte=-2.029535289019e-10, delta_acc/sec=-0.000005105643,acc/byte=6.549500219336e-10, acc/sec=0.000016476387, 
Round 39: test_acc=0.026177669270, bytes=55.17408000 MB, time=2193.75547410s, delta_acc/byte=-1.637005046785e-10, delta_acc/sec=-0.000004117152,acc/byte=4.744559269491e-10, acc/sec=0.000011932811, 
Round 40: test_acc=0.055406807084, bytes=56.58880000 MB, time=2244.13893700s, delta_acc/byte=5.165180709552e-10, delta_acc/sec=0.000013024656,acc/byte=9.791125997306e-10, acc/sec=0.000024689562, 
Round 41: test_acc=0.048733113157, bytes=58.00352000 MB, time=2266.36194750s, delta_acc/byte=-1.150567056448e-10, delta_acc/sec=-0.000002944673,acc/byte=8.401750989704e-10, acc/sec=0.000021502794, 
Round 42: test_acc=0.036521210372, bytes=59.41824000 MB, time=2361.56196530s, delta_acc/byte=-2.055244784124e-10, delta_acc/sec=-0.000005171113,acc/byte=6.146464515349e-10, acc/sec=0.000015464854, 
