Round 1: test_acc=0.061950288238, bytes=2.11880000 MB, time=56.36932710s, delta_acc/byte=2.923838410327e-08, delta_acc/sec=0.001099007056,acc/byte=2.923838410327e-08, acc/sec=0.001099007056, 
Round 2: test_acc=0.075866688732, bytes=4.23760000 MB, time=114.58314340s, delta_acc/byte=3.284028812076e-09, delta_acc/sec=0.000121452424,acc/byte=1.790322086371e-08, acc/sec=0.000662110381, 
Round 3: test_acc=0.087939518625, bytes=6.35640000 MB, time=158.24336980s, delta_acc/byte=1.899318779948e-09, delta_acc/sec=0.000076292801,acc/byte=1.383479935575e-08, acc/sec=0.000555723243, 
Round 4: test_acc=0.105486536734, bytes=8.47520000 MB, time=262.02991630s, delta_acc/byte=2.070395755721e-09, delta_acc/sec=0.000066965705,acc/byte=1.244649527254e-08, acc/sec=0.000402574402, 
Round 5: test_acc=0.114803401828, bytes=10.59400000 MB, time=286.00613370s, delta_acc/byte=8.794473375501e-10, delta_acc/sec=0.000032575753,acc/byte=1.083664355558e-08, acc/sec=0.000401401887, 
Round 6: test_acc=0.130839705132, bytes=12.71280000 MB, time=367.01212250s, delta_acc/byte=1.261429685367e-09, delta_acc/sec=0.000043694206,acc/byte=1.029196598168e-08, acc/sec=0.000356499682, 
Round 7: test_acc=0.144234941378, bytes=14.83160000 MB, time=457.33073640s, delta_acc/byte=9.031551718148e-10, delta_acc/sec=0.000029290041,acc/byte=9.724840298972e-09, acc/sec=0.000315384316, 
Round 8: test_acc=0.155964188352, bytes=16.95040000 MB, time=534.97714840s, delta_acc/byte=6.919746421318e-10, delta_acc/sec=0.000021924763,acc/byte=9.201209903732e-09, acc/sec=0.000291534300, 
Round 9: test_acc=0.165372096375, bytes=19.06920000 MB, time=581.24445780s, delta_acc/byte=4.933561986032e-10, delta_acc/sec=0.000016185803,acc/byte=8.672209446365e-09, acc/sec=0.000284513846, 
Round 10: test_acc=0.181233069971, bytes=21.18800000 MB, time=619.29824430s, delta_acc/byte=7.485828580599e-10, delta_acc/sec=0.000025611204,acc/byte=8.553571359789e-09, acc/sec=0.000292642635, 
Round 11: test_acc=0.186434798390, bytes=23.30680000 MB, time=632.47366860s, delta_acc/byte=2.231850111757e-10, delta_acc/sec=0.000008224419,acc/byte=7.999158974620e-09, acc/sec=0.000294770846, 
Round 12: test_acc=0.190049283803, bytes=25.42560000 MB, time=669.16111330s, delta_acc/byte=1.421592966473e-10, delta_acc/sec=0.000005401517,acc/byte=7.474721690049e-09, acc/sec=0.000284011249, 
Round 13: test_acc=0.200252866521, bytes=27.54440000 MB, time=701.51840300s, delta_acc/byte=3.704412773184e-10, delta_acc/sec=0.000014544997,acc/byte=7.270184375825e-09, acc/sec=0.000285456327, 
Round 14: test_acc=0.212133354880, bytes=29.66320000 MB, time=728.63288170s, delta_acc/byte=4.005127012068e-10, delta_acc/sec=0.000016305177,acc/byte=7.151398193044e-09, acc/sec=0.000291138871, 
