Round 1: test_acc=0.042181429761, bytes=2.11880000 MB, time=68.94526770s, delta_acc/byte=1.990816960569e-08, delta_acc/sec=0.000611810370,acc/byte=1.990816960569e-08, acc/sec=0.000611810370, 
Round 2: test_acc=0.072085830476, bytes=4.23760000 MB, time=140.78148000s, delta_acc/byte=7.056919179631e-09, delta_acc/sec=0.000212417150,acc/byte=1.701100398247e-08, acc/sec=0.000512040579, 
Round 3: test_acc=0.092684341669, bytes=6.35640000 MB, time=189.33418150s, delta_acc/byte=3.240593919978e-09, delta_acc/sec=0.000108794466,acc/byte=1.458126324163e-08, acc/sec=0.000489527781, 
Round 4: test_acc=0.119859860316, bytes=8.47520000 MB, time=299.24332160s, delta_acc/byte=3.206475203752e-09, delta_acc/sec=0.000090814119,acc/byte=1.414242263497e-08, acc/sec=0.000400543142, 
Round 5: test_acc=0.136036456451, bytes=10.59400000 MB, time=322.96920490s, delta_acc/byte=1.526958291004e-09, delta_acc/sec=0.000050087116,acc/byte=1.284089639898e-08, acc/sec=0.000421205658, 
Round 6: test_acc=0.162377216741, bytes=12.71280000 MB, time=402.35902190s, delta_acc/byte=2.071987311263e-09, delta_acc/sec=0.000065465813,acc/byte=1.277273431041e-08, acc/sec=0.000403563007, 
Round 7: test_acc=0.188651058301, bytes=14.83160000 MB, time=482.76814670s, delta_acc/byte=1.771477221600e-09, delta_acc/sec=0.000054423312,acc/byte=1.271953520196e-08, acc/sec=0.000390769481, 
Round 8: test_acc=0.203844437897, bytes=16.95040000 MB, time=572.98491240s, delta_acc/byte=8.963434252806e-10, delta_acc/sec=0.000026516195,acc/byte=1.202593672699e-08, acc/sec=0.000355758823, 
Round 9: test_acc=0.209985054433, bytes=19.06920000 MB, time=618.95416340s, delta_acc/byte=3.220175222946e-10, delta_acc/sec=0.000009920955,acc/byte=1.101173905740e-08, acc/sec=0.000339257843, 
Round 10: test_acc=0.214390693977, bytes=21.18800000 MB, time=664.89587490s, delta_acc/byte=2.079308827699e-10, delta_acc/sec=0.000006626059,acc/byte=1.011849603443e-08, acc/sec=0.000322442509, 
Round 11: test_acc=0.220971259847, bytes=23.30680000 MB, time=680.70599530s, delta_acc/byte=2.823453185254e-10, delta_acc/sec=0.000009667266,acc/byte=9.480978077097e-09, acc/sec=0.000324620705, 
Round 12: test_acc=0.233133729100, bytes=25.42560000 MB, time=722.87074150s, delta_acc/byte=4.783552503360e-10, delta_acc/sec=0.000016825234,acc/byte=9.169251821008e-09, acc/sec=0.000322510949, 
Round 13: test_acc=0.243672126085, bytes=27.54440000 MB, time=751.53971310s, delta_acc/byte=3.825967160054e-10, delta_acc/sec=0.000014022409,acc/byte=8.846521473859e-09, acc/sec=0.000324230539, 
Round 14: test_acc=0.244564033672, bytes=29.66320000 MB, time=777.05902690s, delta_acc/byte=3.006781424956e-11, delta_acc/sec=0.000001147799,acc/byte=8.244694897119e-09, acc/sec=0.000314730317, 
Round 15: test_acc=0.260190433860, bytes=31.78200000 MB, time=860.69962700s, delta_acc/byte=4.916745386575e-10, delta_acc/sec=0.000018155463,acc/byte=8.186723109302e-09, acc/sec=0.000302301088, 
Round 16: test_acc=0.269528026208, bytes=33.90080000 MB, time=891.79727800s, delta_acc/byte=2.754387019910e-10, delta_acc/sec=0.000010470532,acc/byte=7.950491616961e-09, acc/sec=0.000302230151, 
Round 17: test_acc=0.267032210529, bytes=36.01960000 MB, time=906.60764990s, delta_acc/byte=-6.929048849601e-11, delta_acc/sec=-0.000002752917,acc/byte=7.413525150997e-09, acc/sec=0.000294539993, 
Round 18: test_acc=0.275422192663, bytes=38.13840000 MB, time=936.12034770s, delta_acc/byte=2.199877848600e-10, delta_acc/sec=0.000008962504,acc/byte=7.221650427468e-09, acc/sec=0.000294216650, 
Round 19: test_acc=0.283471334949, bytes=40.25720000 MB, time=981.30275840s, delta_acc/byte=1.999429241522e-10, delta_acc/sec=0.000008202507,acc/byte=7.041506487017e-09, acc/sec=0.000288872453, 
Round 20: test_acc=0.292322318703, bytes=42.37600000 MB, time=1018.30313130s, delta_acc/byte=2.088678439164e-10, delta_acc/sec=0.000008691895,acc/byte=6.898299006582e-09, acc/sec=0.000287068074, 
Round 21: test_acc=0.294703648910, bytes=44.49480000 MB, time=1035.85390930s, delta_acc/byte=5.351929229911e-11, delta_acc/sec=0.000002298905,acc/byte=6.623327869997e-09, acc/sec=0.000284503101, 
Round 22: test_acc=0.301506109610, bytes=46.61360000 MB, time=1095.67176220s, delta_acc/byte=1.459329616308e-10, delta_acc/sec=0.000006208484,acc/byte=6.468200473900e-09, acc/sec=0.000275179228, 
Round 23: test_acc=0.304408809692, bytes=48.73240000 MB, time=1140.89313370s, delta_acc/byte=5.956406993022e-11, delta_acc/sec=0.000002544235,acc/byte=6.246538436270e-09, acc/sec=0.000266816234, 
Round 24: test_acc=0.310707507133, bytes=50.85120000 MB, time=1169.37222920s, delta_acc/byte=1.238652665388e-10, delta_acc/sec=0.000005386392,acc/byte=6.110131267964e-09, acc/sec=0.000265704537, 
Round 25: test_acc=0.319873155579, bytes=52.97000000 MB, time=1210.41270610s, delta_acc/byte=1.730347072963e-10, delta_acc/sec=0.000007572333,acc/byte=6.038760724542e-09, acc/sec=0.000264267843, 
Round 26: test_acc=0.320642649159, bytes=55.08880000 MB, time=1251.95618080s, delta_acc/byte=1.396824000277e-11, delta_acc/sec=0.000000614633,acc/byte=5.820468936677e-09, acc/sec=0.000256113316, 
